_messagetimems,_messagetime,_,duration,ip,revProxyPath,_raw
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",12.473047ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 12.473047ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",12.029321ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 12.029321ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",11.658954ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 11.658954ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",34.480725ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 34.480725ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:33:05.000 +0530,",""time"":""2023-04-12T06:03:05Z""}}",70.575868ms,10.130.186.102,/api/streamer/video?peerid=&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/video?peerid=&options= and ip 10.130.186.102 is 70.575868ms"",""time"":""2023-04-12T06:03:05Z""}}"
1.68128E+12,12/04/2023 11:31:16.000 +0530,",""time"":""2023-04-12T06:01:16Z""}}",124.668683ms,10.130.186.102,/api/streamer/hangup?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/hangup?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 124.668683ms"",""time"":""2023-04-12T06:01:16Z""}}"
1.68128E+12,12/04/2023 11:31:09.000 +0530,",""time"":""2023-04-12T06:01:09Z""}}",58.572339ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 58.572339ms"",""time"":""2023-04-12T06:01:09Z""}}"
1.68128E+12,12/04/2023 11:31:09.000 +0530,",""time"":""2023-04-12T06:01:09Z""}}",58.561297ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 58.561297ms"",""time"":""2023-04-12T06:01:09Z""}}"
1.68128E+12,12/04/2023 11:31:09.000 +0530,",""time"":""2023-04-12T06:01:09Z""}}",12.970585ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 12.970585ms"",""time"":""2023-04-12T06:01:09Z""}}"
1.68128E+12,12/04/2023 11:31:09.000 +0530,",""time"":""2023-04-12T06:01:09Z""}}",73.425633ms,10.130.186.102,/api/streamer/addIceCandidate?peerid=lt_phqghumeay&options=,"{""log"":{""level"":""info"",""msg"":""reverse-proxy response-time for revProxyPath /api/streamer/addIceCandidate?peerid=lt_phqghumeay&options= and ip 10.130.186.102 is 73.425633ms"",""time"":""2023-04-12T06:01:09Z""}}"
